run_name,models_dir,behavior,seq_id,seq_idx,neighbor_seq_id,has_neighbor,step_idx,layer_idx,cluster_rank,cluster_size_neurons,mean_activation_stability,mean_connectivity_stability,mean_self_score,n_units,n_alive_units,dead_units,n_families,K_best,states_path,n_states_sampled,analyze_norm_inputs,input_norm_mode,title_mode
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,4,4,0.39902085065841675,0.0,0.19951042532920837,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,5,1,0.3362204432487488,0.0,0.1681102216243744,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,6,1,0.1231049969792366,0.0,0.0615524984896183,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,7,1,0.22108404338359833,0.0,0.11054202169179916,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,8,1,0.14070570468902588,0.0,0.07035285234451294,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,9,1,0.15156321227550507,0.0,0.07578160613775253,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c001,0,c002,True,0,1,10,1,,,,150,148,2,147,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c002,1,c003,True,1,0,1,43,0.8922020792961121,0.8560458421707153,0.8741239309310913,150,150,0,150,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c002,1,c003,True,1,0,2,36,0.9311846494674683,0.8833509683609009,0.9072678089141846,150,150,0,150,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47,/Users/adi/Desktop/WSJ_att69_WalkOnly_relu_42_2026-02-01_03-48-47/models,walk,c002,1,c003,True,1,0,3,19,0.9151093363761902,0.8585745096206665,0.8868420124053955,150,150,0,150,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,False,none,Neighbor-matched stability (same-behavior only): walk
