run_name,models_dir,cycle_id,cycle_idx,behavior,beh_idx,step_idx,layer_idx,cluster_rank,cluster_size_neurons,cluster_size_families,mean_activation_stability,mean_connectivity_stability,mean_self_score,n_units,n_alive_units,n_families,dead_units,K_best,states_path,n_states_sampled,sens_tag,sens_k_min,sens_k_max,sens_alpha_small_k
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,1,43,43,0.6387967467308044,0.6903765201568604,0.6645866632461548,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,2,40,40,0.5467079281806946,0.5863572359085083,0.566532552242279,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,3,27,27,0.5707404613494873,0.5912708640098572,0.5810056924819946,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,4,16,16,0.5074577331542969,0.497699111700058,0.5025783777236938,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,5,8,8,0.3606724739074707,0.45464983582496643,0.4076611399650574,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,6,5,5,0.4705626964569092,0.5272899270057678,0.4989263117313385,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,7,5,5,0.36756888031959534,0.41681092977523804,0.3921899199485779,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,8,3,3,0.42999550700187683,0.6141660213470459,0.5220807790756226,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,9,2,2,0.3528440594673157,0.5471183061599731,0.4499811828136444,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,walk,0,0,0,10,1,1,0.4904720187187195,0.635675847530365,0.5630739331245422,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,1,102,102,0.5892958045005798,0.6329750418663025,0.6111354231834412,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,2,17,17,0.49350452423095703,0.5015276670455933,0.49751606583595276,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,3,11,11,0.44851455092430115,0.5656816959381104,0.5070981383323669,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,4,10,10,0.4849410057067871,0.477731853723526,0.48133641481399536,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,5,4,4,0.5098087787628174,0.501728892326355,0.5057687759399414,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,6,3,3,0.3468058407306671,0.4480249583721161,0.3974153995513916,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,7,2,2,0.3950287401676178,0.49981364607810974,0.44742119312286377,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_6_2026-01-30_23-29-08,/Users/adi/Desktop/Robustness/WSJ_att69_relu_6_2026-01-30_23-29-08/models,c001,0,jump,1,1,0,8,1,1,0.2775530219078064,0.5582302808761597,0.41789165139198303,150,150,150,0,8,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
