run_name,models_dir,cycle_id,cycle_idx,behavior,beh_idx,step_idx,layer_idx,cluster_rank,cluster_size_neurons,cluster_size_families,mean_activation_stability,mean_connectivity_stability,mean_self_score,n_units,n_alive_units,n_families,dead_units,K_best,states_path,n_states_sampled,sens_tag,sens_k_min,sens_k_max,sens_alpha_small_k
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,1,43,43,0.5744280815124512,0.587958812713623,0.5811934471130371,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,2,43,43,0.5854314565658569,0.6048378348350525,0.5951347351074219,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,3,26,26,0.5672010183334351,0.6270796656608582,0.597140371799469,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,4,15,15,0.5466670989990234,0.5776849389076233,0.562175989151001,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,5,9,9,0.45588240027427673,0.5490873456001282,0.5024848580360413,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,6,5,5,0.5052743554115295,0.46262603998184204,0.4839501976966858,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,7,3,3,0.25012168288230896,0.3958839476108551,0.32300281524658203,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,8,2,2,0.4613499939441681,0.6378720998764038,0.5496110320091248,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,9,2,2,0.3250676691532135,0.5793803930282593,0.4522240161895752,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
WSJ_att69_relu_2_2026-01-30_23-24-40,/Users/adi/Desktop/Robustness/WSJ_att69_relu_2_2026-01-30_23-24-40/models,c001,0,walk,0,0,0,10,2,2,0.34810304641723633,0.3157721161842346,0.3319375813007355,150,150,150,0,10,/Users/adi/Desktop/Robustness/ALL_states_concat.npy,50000,k2_10_a0p25,2,10,0.25
