time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.009,1036,4898816,-39.844862,565.290000,163246.45,0.000651,0.00,100.00
60.060,8690,9789440,-88.197484,567.350000,162995.30,-0.000345,85.84,14.16
90.078,11066,14770176,-94.949232,796.120000,163971.51,0.000774,45.58,54.42
120.118,18333,19546112,-67.791727,751.650000,162723.96,0.001001,85.06,14.94
150.119,21456,24453120,-102.171169,871.620000,162891.76,0.000904,58.76,41.24
180.133,28358,29163520,-77.316142,814.610000,161899.84,0.000005,84.49,15.51
210.185,34724,33964032,-106.056988,746.940000,161591.46,0.000233,81.91,18.09
240.203,38736,38764544,-85.324933,885.670000,161382.37,0.000500,68.77,31.23
270.205,44860,43499520,-58.515095,872.090000,160986.99,-0.000108,81.65,18.35
300.214,49221,48324608,-79.758693,902.730000,160967.18,-0.000113,71.34,28.66
330.261,55245,53084160,-141.137228,897.330000,160734.12,-0.000021,80.10,19.90
360.297,61129,57892864,-72.810651,849.180000,160681.10,0.000554,79.17,20.83
390.310,65768,62693376,-45.226424,865.190000,160624.40,-0.000881,74.07,25.93
420.324,71407,67420160,-56.696271,816.520000,160400.44,-0.002241,78.98,21.02
450.354,76332,72228864,-72.908344,901.550000,160382.34,0.000413,75.61,24.39
480.365,81707,76742656,-90.548514,870.250000,159758.99,-0.000124,79.85,20.15
510.418,86351,81199104,-78.105606,895.870000,159083.62,0.000201,76.09,23.91
540.498,90185,84328448,-73.146525,940.430000,156019.83,-0.051466,79.48,20.52
570.534,92735,87269376,118.148040,993.710000,152960.93,-0.072928,94.35,5.65
600.577,96120,90202112,372.783567,1000.000000,150192.49,-0.012015,100.00,0.00
630.603,98978,93143040,826.196940,1000.000000,147704.77,0.127980,100.00,0.00
660.653,101528,96092160,1262.107378,1000.000000,145450.31,0.362551,100.00,0.00
690.670,104755,98975744,1922.899730,981.540000,143304.04,0.666148,99.88,0.12
720.753,107624,101867520,2662.501681,998.650000,141334.95,0.915511,99.34,0.66
750.796,110182,104767488,3074.627070,1000.000000,139541.91,1.008800,99.77,0.23
780.868,113382,107626496,3515.513156,995.720000,137829.25,1.118341,99.62,0.38
810.922,116184,110469120,3566.096656,996.480000,136226.65,1.209263,98.29,1.71
