time_s,episodes_done,total_steps,avg_return_window,avg_len_window,fps,mean_vx_b,timeout_pct,non_timeout_pct
30.001,1481,6455296,-91.371272,705.420000,215170.58,0.001028,0.00,100.00
60.045,9907,12222464,-66.061715,690.160000,203556.69,-0.001222,83.73,16.27
90.050,16983,16949248,-104.361513,738.520000,188220.28,-0.001542,83.55,16.45
120.056,19861,21905408,-97.545578,787.590000,182460.31,-0.000953,59.12,40.88
150.084,26607,26689536,-43.615587,761.920000,177831.25,0.000030,84.04,15.96
180.108,30218,31555584,-114.862440,877.980000,175203.52,0.002889,66.52,33.48
210.116,36684,36274176,-114.445040,860.310000,172639.08,-0.001042,83.26,16.74
240.172,43110,41025536,-129.923324,954.870000,170816.99,0.001087,80.94,19.06
270.175,47018,45907968,-98.106280,888.190000,169919.38,-0.001524,70.45,29.55
300.181,52998,50675712,-71.805199,888.060000,168817.14,0.000391,80.32,19.68
330.204,57559,55492608,-117.768142,909.080000,168055.40,0.000735,73.08,26.92
360.239,63396,60243968,-164.100085,943.660000,167233.14,-0.000367,79.85,20.15
390.252,68037,64962560,-116.424428,896.140000,166462.94,0.000499,74.30,25.70
420.253,73679,69689344,-105.410003,881.200000,165827.05,0.000235,80.56,19.44
450.264,79297,74407936,-115.572961,869.730000,165254.12,0.002603,78.59,21.41
480.269,84171,79192064,-85.613313,863.080000,164890.96,-0.000083,76.18,23.82
510.332,88973,83222528,-42.390258,815.030000,163075.34,-0.003677,77.97,22.03
540.341,91931,86351872,137.483902,997.780000,159809.97,-0.083546,86.04,13.96
570.387,94710,89440256,429.367924,1000.000000,156806.19,-0.009130,99.86,0.14
600.408,98248,92405760,845.278062,1000.000000,153904.93,0.173816,100.00,0.00
630.445,100802,95379456,1393.659080,1000.000000,151289.02,0.426321,100.00,0.00
660.465,103564,98279424,1355.851528,1000.000000,148803.32,0.475770,100.00,0.00
690.493,106870,101072896,2746.139187,1000.000000,146377.93,0.870073,100.00,0.00
720.574,109340,103940096,2715.086235,1000.000000,144246.20,0.668693,100.00,0.00
750.581,112631,106790912,1975.197963,1000.000000,142277.72,0.309560,100.00,0.00
780.664,115469,109723648,1468.264972,997.310000,140551.77,0.241804,99.72,0.28
810.665,117966,112631808,1419.315123,1000.000000,138937.58,0.181174,100.00,0.00
840.675,121265,115515392,1413.973641,1000.000000,137407.94,0.319604,99.61,0.39
870.733,124200,118398976,1481.710598,988.570000,135976.16,0.511426,95.71,4.29
900.760,126749,121315328,1959.168732,969.320000,134681.05,0.686893,96.59,3.41
930.784,130231,124157952,2544.681947,920.980000,133390.73,0.753013,92.33,7.67
960.830,133377,126992384,2561.233413,909.980000,132169.51,0.960998,83.60,16.40
990.900,136044,129851392,3192.412686,949.380000,131043.89,1.217786,85.30,14.70
1020.913,139383,132726784,4011.874714,977.250000,130007.88,1.344193,88.44,11.56
1050.984,142443,135569408,3910.139449,906.850000,128992.79,1.408223,86.14,13.86
